id;nome;email;data_nascimento;rm;foto;foto_content_type;status
1;bandwidth neural;Stephany_Farrell75@hotmail.com;2021-05-20;101;../fake-data/blob/hipster.png;image/png;ATIVO
2;e-enable networks;Favian_Pagac@yahoo.com;2021-05-20;21061;../fake-data/blob/hipster.png;image/png;ATIVO
3;Fresh Auto Loan Account;Lucas.Beatty@gmail.com;2021-05-20;55617;../fake-data/blob/hipster.png;image/png;CONCLUIDO
4;Savings Account Tasty Legacy;Kyla.Mertz22@hotmail.com;2021-05-20;68177;../fake-data/blob/hipster.png;image/png;SUSPENSO
5;action-items;Maryse63@yahoo.com;2021-05-20;31528;../fake-data/blob/hipster.png;image/png;SUSPENSO
6;policy;Ryleigh.Prosacco@yahoo.com;2021-05-20;71714;../fake-data/blob/hipster.png;image/png;ATIVO
7;e-commerce;Juston22@hotmail.com;2021-05-20;49853;../fake-data/blob/hipster.png;image/png;SUSPENSO
8;maroon Money Market Account;Sylvia.Ullrich1@hotmail.com;2021-05-20;49362;../fake-data/blob/hipster.png;image/png;SUSPENSO
9;leading edge Bosnia and Herzegovina deliverables;Marcelle.Spencer37@hotmail.com;2021-05-20;52917;../fake-data/blob/hipster.png;image/png;SUSPENSO
10;Fresh Steel Garden;Clark_Mayer@yahoo.com;2021-05-20;70432;../fake-data/blob/hipster.png;image/png;ATIVO
